RULE_NAME,RULE_DESCRIPTION,ACTIVITY1_NAME,ENTRY1_DESCRIPTION,ENTRY1_NAME,ENTRY1_CONDITION,ENTRY1_GROUP,ACTIVITY2_NAME,ENTRY2_DESCRIPTION,ENTRY2_NAME,ENTRY2_CONDITION,ENTRY2_GROUP,RISK_LEVEL,RULE_TYPE,RULE_OBJECTIVE,OWNER1,OWNER2,OWNER3,OWNER4,OWNER5,RULE_TAGS
Create Purchase Orders vs. Approve Payables Invoices Rule_July2_V2,Create Purchase Orders vs. Enter Customer Receipts Rule,Create Purchase Orders,Change Purchase Order,PO_CHANGE_PURCHASE_ORDER_PRIV,OR,1,Approve Payables Invoices,Approve Payables Invoice,AP_INITIATE_PAYABLES_INVOICE_APPROVAL_TASK_FLOW_PRIV,OR,1,HIGH,Incompatible Sets,SOD Detective,,,,,,PO_AP
Create Purchase Orders vs. Approve Payables Invoices Rule_July2_V2,Create Purchase Orders vs. Enter Customer Receipts Rule,Create Purchase Orders,Create Purchase Order from Requisitions,PO_CREATE_PURCHASE_ORDER_FROM_REQUISITIONS_PRIV,OR,1,Approve Payables Invoices,Approve Payables Invoice,AP_HOLD_INVOICE_FROM_APPROVAL_TASK_FLOW_PRIV,OR,1,HIGH,Incompatible Sets,SOD Detective,,,,,,PO_AP
Create Purchase Orders vs. Approve Payables Invoices Rule_July2_V2,Create Purchase Orders vs. Enter Customer Receipts Rule,Create Purchase Orders,Create Purchase Order,PO_CREATE_PURCHASE_ORDER_PRIV,OR,1,Approve Payables Invoices,Approve Payables Invoice,AP_APPROVE_PAYABLES_INVOICE_PRIV,OR,1,HIGH,Incompatible Sets,SOD Detective,,,,,,PO_AP
Create Purchase Orders vs. Approve Payables Invoices Rule_July2_V2,Create Purchase Orders vs. Enter Customer Receipts Rule,Create Purchase Orders,Import Purchase Order,PO_IMPORT_PURCHASE_ORDER_PRIV,OR,1,Approve Payables Invoices,Approve Payables Invoice,AP_APPROVE_PAYABLES_INVOICE_PRIV,OR,1,HIGH,Incompatible Sets,SOD Detective,,,,,,PO_AP
Create Purchase Orders vs. Approve Payables Invoices Rule_July2_V2,Create Purchase Orders vs. Enter Customer Receipts Rule,Create Purchase Orders,Manage Purchase Order by Web Service,PO_MANAGE_PURCHASE_ORDER_WEB_SERVICE_PRIV,OR,1,Approve Payables Invoices,Approve Payables Invoice,AP_APPROVE_PAYABLES_INVOICE_PRIV,OR,1,HIGH,Incompatible Sets,SOD Detective,,,,,,PO_AP
Create Purchase Orders vs. Bank Account Reconciliation Rule_July2_V2,Create Purchase Orders vs. Bank Account Reconciliation Rule,Create Purchase Orders,Change Purchase Order,PO_CHANGE_PURCHASE_ORDER_PRIV,OR,1,Bank Account Reconciliation,Maintain Bank Statement,CE_MAINTAIN_BANK_STATEMENT_PRIV,OR,1,HIGH,Incompatible Sets,SOD Detective,,,,,,PO_AP
Create Purchase Orders vs. Bank Account Reconciliation Rule_July2_V2,Create Purchase Orders vs. Bank Account Reconciliation Rule,Create Purchase Orders,Create Purchase Order from Requisitions,PO_CREATE_PURCHASE_ORDER_FROM_REQUISITIONS_PRIV,OR,1,Bank Account Reconciliation,Manage Bank Statement Autoreconciliation Exception,CE_MANAGE_BANK_STATEMENT_AUTORECONCILIATION_EXCEPTION_PRIV,OR,1,HIGH,Incompatible Sets,SOD Detective,,,,,,PO_AP
Create Purchase Orders vs. Bank Account Reconciliation Rule_July2_V2,Create Purchase Orders vs. Bank Account Reconciliation Rule,Create Purchase Orders,Create Purchase Order,PO_CREATE_PURCHASE_ORDER_PRIV,OR,1,Bank Account Reconciliation,Reconcile Bank Statement,CE_RECONCILE_BANK_STATEMENT_PRIV,OR,1,HIGH,Incompatible Sets,SOD Detective,,,,,,PO_AP
Create Purchase Orders vs. Bank Account Reconciliation Rule_July2_V2,Create Purchase Orders vs. Bank Account Reconciliation Rule,Create Purchase Orders,Import Purchase Order,PO_IMPORT_PURCHASE_ORDER_PRIV,OR,1,Bank Account Reconciliation,Reconcile Bank Statement,CE_RECONCILE_BANK_STATEMENT_PRIV,OR,1,HIGH,Incompatible Sets,SOD Detective,,,,,,PO_AP
Create Purchase Orders vs. Bank Account Reconciliation Rule_July2_V2,Create Purchase Orders vs. Bank Account Reconciliation Rule,Create Purchase Orders,Manage Purchase Order by Web Service,PO_MANAGE_PURCHASE_ORDER_WEB_SERVICE_PRIV,OR,1,Bank Account Reconciliation,Reconcile Bank Statement,CE_RECONCILE_BANK_STATEMENT_PRIV,OR,1,HIGH,Incompatible Sets,SOD Detective,,,,,,PO_AP
